id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website,division,admissionRate,sat,cost,opeid,doeSchool,doeCity,doeStateCode,source_school_list,source_enrichment,source_website,source_scoring,source_academic_tags,source_coordinates
boys-d1-001,"University at Albany, SUNY",boys,Albany,New York,42.6867,-73.8238,America East Conference,73.0,71.0,Business|Psychology|Kinesiology,State,,Great Danes,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University at Albany, SUNY competes in the America East Conference and profiles as a public institution.",https://www.albany.edu,NCAA D1,,,,,,,,edsu/soccer-schools divisions.csv,,manual_domain,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),manual city-campus approximation
boys-d1-002,Binghamton University,boys,Binghamton,New York,42.087868,-75.966889,America East Conference,72.0,85.0,Business|Psychology|Kinesiology,State,,Bearcats,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. Binghamton University competes in the America East Conference and profiles as a public institution.",https://www.binghamton.edu,NCAA D1,0.4303,1376.0,28010.0,283600.0,Binghamton University,Vestal,NY,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,manual_domain,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-003,Bryant University,boys,Smithfield,Rhode Island,41.920092,-71.539547,America East Conference,74.0,70.0,Business|Psychology|Communications,Private/Nonsectarian,,Bulldogs,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. Bryant University competes in the America East Conference and profiles as a private institution.",http://www.bryant.edu/,NCAA D1,0.7579,1211.0,62855.0,340200.0,Bryant University,Smithfield,RI,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-004,University of New Hampshire,boys,Durham,New Hampshire,43.135934,-70.932465,America East Conference,79.0,68.0,Business|Education|Psychology,State,,Wildcats,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of New Hampshire competes in the America East Conference and profiles as a public institution.",https://www.unh.edu/,NCAA D1,0.8481,1194.0,33940.0,258900.0,University of New Hampshire-Main Campus,Durham,NH,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-005,New Jersey Institute of Technology,boys,Newark,New Jersey,40.741997,-74.177113,America East Conference,73.0,77.0,Engineering|Computer Science|Architecture,State,,Highlanders,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. New Jersey Institute of Technology competes in the America East Conference and profiles as a public institution.",http://www.njit.edu/,NCAA D1,0.6603,1299.0,31511.0,262100.0,New Jersey Institute of Technology,Newark,NJ,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-006,University of Massachusetts Lowell,boys,Lowell,Massachusetts,42.652864,-71.326809,America East Conference,73.0,72.0,Business|Education|Psychology,State,,River Hawks,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of Massachusetts Lowell competes in the America East Conference and profiles as a public institution.",http://www.uml.edu/,NCAA D1,0.752,1232.0,29174.0,216100.0,University of Massachusetts-Lowell,Lowell,MA,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-007,"University of Maryland, Baltimore County",boys,Catonsville,Maryland,39.256686,-76.711607,America East Conference,73.0,74.0,Business|Education|Psychology,State,,Retrievers,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of Maryland, Baltimore County competes in the America East Conference and profiles as a public institution.",http://www.umbc.edu/,NCAA D1,0.6948,1255.0,25997.0,210500.0,University of Maryland-Baltimore County,Baltimore,MD,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-008,University of Vermont,boys,Burlington,Vermont,44.477325,-73.196646,America East Conference,74.0,74.0,Business|Education|Psychology,State,,Catamounts,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of Vermont competes in the America East Conference and profiles as a public institution.",http://www.uvm.edu/,NCAA D1,0.7132,1276.0,34707.0,369600.0,University of Vermont,Burlington,VT,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-009,University of North Carolina at Charlotte,boys,Charlotte,North Carolina,35.306022,-80.730919,American Athletic Conference,80.0,69.0,Business|Education|Psychology,State,,49ers,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of North Carolina at Charlotte competes in the American Athletic Conference and profiles as a public institution.",http://www.uncc.edu/,NCAA D1,0.7953,1200.0,23478.0,297500.0,University of North Carolina at Charlotte,Charlotte,NC,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
boys-d1-010,Florida Atlantic University,boys,Boca Raton,Florida,26.372421,-80.102978,American Athletic Conference,80.0,67.0,Business|Psychology|Kinesiology,State,,Owls,"Solid D1 option where conference level, roster path, and coach fit will matter more than logo. Florida Atlantic University competes in the American Athletic Conference and profiles as a public institution.",http://www.fau.edu/,NCAA D1,0.7478,1147.0,21761.0,148100.0,Florida Atlantic University,Boca Raton,FL,edsu/soccer-schools divisions.csv,edsu/soccer-schools data.csv,university-domains exact,Model-generated conference + program tier heuristic (April 2026),Manual + rule-based enrichment (April 2026),edsu/soccer-schools data.csv
