id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
d1g-001,"University at Albany, SUNY",girls,Albany,New York,42.6867,-73.8238,America East Conference,73.0,71.0,Business|Psychology|Kinesiology,State,,Great Danes,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University at Albany, SUNY competes in the America East Conference and profiles as a public institution.",https://www.albany.edu
d1g-002,Binghamton University,girls,Binghamton,New York,42.087868,-75.966889,America East Conference,73.0,85.0,Business|Psychology|Kinesiology,State,,Bearcats,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. Binghamton University competes in the America East Conference and profiles as a public institution.",https://www.binghamton.edu
d1g-003,Bryant University,girls,Smithfield,Rhode Island,41.920092,-71.539547,America East Conference,74.0,70.0,Business|Psychology|Communications,Private/Nonsectarian,,Bulldogs,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. Bryant University competes in the America East Conference and profiles as a private institution.",http://www.bryant.edu/
d1g-004,University of New Hampshire,girls,Durham,New Hampshire,43.135934,-70.932465,America East Conference,79.0,68.0,Business|Education|Psychology,State,,Wildcats,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of New Hampshire competes in the America East Conference and profiles as a public institution.",https://www.unh.edu/
d1g-005,New Jersey Institute of Technology,girls,Newark,New Jersey,40.741997,-74.177113,America East Conference,73.0,77.0,Engineering|Computer Science|Architecture,State,,Highlanders,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. New Jersey Institute of Technology competes in the America East Conference and profiles as a public institution.",http://www.njit.edu/
d1g-006,University of Massachusetts Lowell,girls,Lowell,Massachusetts,42.652864,-71.326809,America East Conference,73.0,72.0,Business|Education|Psychology,State,,River Hawks,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of Massachusetts Lowell competes in the America East Conference and profiles as a public institution.",http://www.uml.edu/
d1g-007,"University of Maryland, Baltimore County",girls,Catonsville,Maryland,39.256686,-76.711607,America East Conference,73.0,74.0,Business|Education|Psychology,State,,Retrievers,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of Maryland, Baltimore County competes in the America East Conference and profiles as a public institution.",http://www.umbc.edu/
d1g-008,University of Vermont,girls,Burlington,Vermont,44.477325,-73.196646,America East Conference,74.0,74.0,Business|Education|Psychology,State,,Catamounts,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of Vermont competes in the America East Conference and profiles as a public institution.",http://www.uvm.edu/
d1g-009,University of North Carolina at Charlotte,girls,Charlotte,North Carolina,35.306022,-80.730919,American Athletic Conference,81.0,69.0,Business|Education|Psychology,State,,49ers,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. University of North Carolina at Charlotte competes in the American Athletic Conference and profiles as a public institution.",http://www.uncc.edu/
d1g-010,Florida Atlantic University,girls,Boca Raton,Florida,26.372421,-80.102978,American Athletic Conference,81.0,67.0,Business|Psychology|Kinesiology,State,,Owls,"Best-effort D1 women's mapping row. Solid D1 option where conference level, roster path, and coach fit will matter more than logo. Florida Atlantic University competes in the American Athletic Conference and profiles as a public institution.",http://www.fau.edu/
