id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
d1g-1,University 1,girls,City1,NC,27.1416,-78.9127,Pac-12,91,69,Health Sciences|Biology,Private,3601,Huskies,Competitive D1 program with solid development environment.,https://www.university1.edu
d1g-2,University 2,girls,City2,PA,37.9587,-115.5811,SEC,79,99,Engineering|Communications,Private,43247,Tigers,Competitive D1 program with solid development environment.,https://www.university2.edu
d1g-3,University 3,girls,City3,MI,28.6354,-107.2699,ACC,84,83,Business|Communications,Public,14770,Wildcats,Competitive D1 program with solid development environment.,https://www.university3.edu
d1g-4,University 4,girls,City4,NY,44.681,-76.8706,Big 12,82,78,Engineering|Health Sciences,Private,10657,Bruins,Competitive D1 program with solid development environment.,https://www.university4.edu
d1g-5,University 5,girls,City5,FL,35.8993,-104.6641,AAC,96,88,Psychology|Communications,Private,21836,Tigers,Competitive D1 program with solid development environment.,https://www.university5.edu
d1g-6,University 6,girls,City6,GA,39.5277,-118.2185,Sun Belt,87,72,Biology|Business,Public,42311,Bulldogs,Competitive D1 program with solid development environment.,https://www.university6.edu
d1g-7,University 7,girls,City7,VA,44.2217,-102.9586,Big Ten,93,66,Biology|Engineering,Private,7876,Spartans,Competitive D1 program with solid development environment.,https://www.university7.edu
d1g-8,University 8,girls,City8,TX,30.9906,-70.5442,C-USA,87,98,Communications|Health Sciences,Private,28413,Spartans,Competitive D1 program with solid development environment.,https://www.university8.edu
d1g-9,University 9,girls,City9,NC,28.4699,-103.6384,ACC,86,62,Biology|Communications,Public,28884,Bulldogs,Competitive D1 program with solid development environment.,https://www.university9.edu
d1g-10,University 10,girls,City10,TX,41.6825,-72.4868,Pac-12,74,73,Psychology|Engineering,Private,23546,Spartans,Competitive D1 program with solid development environment.,https://www.university10.edu
d1g-11,University 11,girls,City11,TX,27.6026,-117.1291,SEC,75,98,Communications|Psychology,Private,45178,Bulldogs,Competitive D1 program with solid development environment.,https://www.university11.edu
d1g-12,University 12,girls,City12,TX,30.2117,-100.8776,C-USA,72,85,Health Sciences|Communications,Private,37712,Bruins,Competitive D1 program with solid development environment.,https://www.university12.edu
d1g-13,University 13,girls,City13,PA,39.2039,-96.0088,Pac-12,88,83,Health Sciences|Communications,Public,42715,Spartans,Competitive D1 program with solid development environment.,https://www.university13.edu
