id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
mens-barry-university,Barry University,boys,Miami Shores,FL,25.8798,-80.187,Sunshine State Conference,86,78,Business|Biology|Nursing,Private,"7,000",Buccaneers,"Strong upper-tier D2 program in the Sunshine State Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-colorado-school-of-mines,Colorado School of Mines,boys,Golden,CO,39.751,-105.2228,Rocky Mountain Athletic Conference,85,93,Engineering|Computer Science|Physics,Public,"7,000",Orediggers,"Strong upper-tier D2 program in the Rocky Mountain Athletic Conference with a serious competitive environment. Best fit for student-athletes who want strong academics without sacrificing too much level. Public-school environment can offer a broader campus experience and larger student body. Caution: the academic load is real, so time management matters.",
mens-dallas-baptist-university,Dallas Baptist University,boys,Dallas,TX,32.7174,-96.9477,Lone Star Conference,84,79,Business|Communications|Psychology,Private,"4,600",Patriots,"Strong upper-tier D2 program in the Lone Star Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-lynn-university,Lynn University,boys,Boca Raton,FL,26.3784,-80.104,Sunshine State Conference,84,79,Business|Communications|Psychology,Private,"3,200",Fighting Knights,"Strong upper-tier D2 program in the Sunshine State Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-wingate-university,Wingate University,boys,Wingate,NC,34.9847,-80.4497,South Atlantic Conference,84,76,Business|Psychology|Exercise Science,Private,"3,500",Bulldogs,"Strong upper-tier D2 program in the South Atlantic Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-lee-university,Lee University,boys,Cleveland,TN,35.1595,-84.8766,Gulf South Conference,83,75,Business|Exercise Science|Psychology,Private,"5,000",Flames,"Strong upper-tier D2 program in the Gulf South Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-adelphi-university,Adelphi University,boys,Garden City,NY,40.7265,-73.6532,Northeast-10 Conference,82,82,Business|Psychology|Biology,Private,"7,600",Panthers,"Strong upper-tier D2 program in the Northeast-10 Conference with a serious competitive environment. Good fit for players who want a meaningful balance of competition, academics, and long-term value. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-california-state-polytechnic-university-pomona,"California State Polytechnic University, Pomona",boys,Pomona,CA,34.057,-117.8218,California Collegiate Athletic Association,82,84,Engineering|Business|Architecture,Public,"27,000",Broncos,"Strong upper-tier D2 program in the California Collegiate Athletic Association with a serious competitive environment. Good fit for players who want a meaningful balance of competition, academics, and long-term value. Public-school environment can offer a broader campus experience and larger student body. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-flagler-college,Flagler College,boys,St. Augustine,FL,29.8947,-81.3145,Peach Belt Conference,82,79,Business|Communications|Psychology,Private,"2,500",Saints,"Strong upper-tier D2 program in the Peach Belt Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
mens-lenoir-rhyne-university,Lenoir-Rhyne University,boys,Hickory,NC,35.735,-81.328,South Atlantic Conference,82,75,Business|Nursing|Exercise Science,Private,"2,500",Bears,"Strong upper-tier D2 program in the South Atlantic Conference with a serious competitive environment. Good fit for players who prioritize level, opportunity, and realistic development. Private-school environment can mean a smaller-campus feel and a different cost structure. Caution: depth, conference travel, and consistency all matter more than families often expect.",
