id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
mens-tampa,University of Tampa,boys,Tampa,FL,,,Sunshine State,,,,,,,,
mens-grand-valley,Grand Valley State University,boys,Allendale,MI,,,GLIAC,,,,,,,,
mens-charleston,University of Charleston,boys,Charleston,WV,,,Mountain East,,,,,,,,
mens-colorado-mines,Colorado School of Mines,boys,Golden,CO,,,RMAC,,,,,,,,
mens-wingate,Wingate University,boys,Wingate,NC,,,SAC,,,,,,,,
mens-lee,Lee University,boys,Cleveland,TN,,,Gulf South,,,,,,,,
mens-cal-poly-pomona,Cal Poly Pomona,boys,Pomona,CA,,,CCAA,,,,,,,,
mens-maryville,University of Maryville,boys,St. Louis,MO,,,GLVC,,,,,,,,
womens-west-chester,West Chester University,girls,West Chester,PA,,,PSAC,,,,,,,,
womens-dallas-baptist,Dallas Baptist University,girls,Dallas,TX,,,Lone Star,,,,,,,,
womens-grand-valley,Grand Valley State University,girls,Allendale,MI,,,GLIAC,,,,,,,,
womens-lee,Lee University,girls,Cleveland,TN,,,Gulf South,,,,,,,,
womens-colorado-mines,Colorado School of Mines,girls,Golden,CO,,,RMAC,,,,,,,,
womens-wingate,Wingate University,girls,Wingate,NC,,,SAC,,,,,,,,
womens-cal-poly-pomona,Cal Poly Pomona,girls,Pomona,CA,,,CCAA,,,,,,,,
womens-concordia-st-paul,Concordia University St Paul,girls,St Paul,MN,,,NSIC,,,,,,,,
