id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
womens-adrian-college,Adrian College,girls,Adrian,MI,41.898591,-84.061481,Michigan Intercollegiate Athletic Association,74,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Michigan Intercollegiate Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.adrian.edu/
womens-agnes-scott-college,Agnes Scott College,girls,Decatur,GA,33.769268,-84.295459,Collegiate Conference of the South,63,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Collegiate Conference of the South. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.agnesscott.edu/
womens-albertus-magnus-college,Albertus Magnus College,girls,New Haven,CT,41.332519,-72.923848,Great Northeast Athletic Conference,64,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Great Northeast Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.albertus.edu/
womens-albion-college,Albion College,girls,Albion,MI,42.245049,-84.745639,Michigan Intercollegiate Athletic Association,74,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Michigan Intercollegiate Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.albion.edu/
womens-albright-college,Albright College,girls,Reading,PA,40.361351,-75.909742,Middle Atlantic Conferences,72,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Middle Atlantic Conferences. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.albright.edu/home/
womens-alfred-state-college,Alfred State College,girls,Alfred,NY,42.255262,-77.794632,Allegheny Mountain Collegiate Conference,68,68,Business|Psychology|Education,Public,,,"Auto-generated profile: Public program in the Allegheny Mountain Collegiate Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.alfredstate.edu/
womens-alfred-university,Alfred University,girls,Alfred,NY,42.254476,-77.788106,Empire 8,71,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Empire 8. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.alfred.edu/
womens-allegheny-college,Allegheny College,girls,Meadville,PA,41.64869,-80.147168,Presidents' Athletic Conference,67,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Presidents' Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://allegheny.edu/
womens-alma-college,Alma College,girls,Alma,MI,43.38004,-84.672053,Michigan Intercollegiate Athletic Association,74,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Michigan Intercollegiate Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://alma.edu/
womens-alvernia-university,Alvernia University,girls,Reading,PA,40.310028,-75.936754,Middle Atlantic Conferences,72,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Middle Atlantic Conferences. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.alvernia.edu/
womens-alverno-college,Alverno College,girls,Milwaukee,WI,42.982842,-87.965174,Northern Athletics Collegiate Conference,68,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Northern Athletics Collegiate Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.alverno.edu/
womens-amherst-college,Amherst College,girls,Amherst,MA,42.372459,-72.518493,New England Small College Athletic Conference,96,98,Liberal Arts|Economics|Political Science,Private,,,"Auto-generated profile: Private program in the New England Small College Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing both high-level soccer and strong academics. Verify roster fit, admissions, and aid directly with the school.",https://www.amherst.edu/
womens-anderson-university-indiana,Anderson University (Indiana),girls,Anderson,SC,34.5152,-82.640358,Heartland Collegiate Athletic Conference,66,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Heartland Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.andersonuniversity.edu/
womens-anna-maria-college,Anna Maria College,girls,Paxton,MA,42.330542,-71.91896,Massachusetts State Collegiate Athletic Conference,69,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Massachusetts State Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.annamaria.edu/
womens-arcadia-university,Arcadia University,girls,Glenside,PA,40.092606,-75.163876,Middle Atlantic Conferences,72,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Middle Atlantic Conferences. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.arcadia.edu/
womens-asbury-university,Asbury University,girls,Wilmore,KY,37.862029,-84.662606,Collegiate Conference of the South,63,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Collegiate Conference of the South. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.asbury.edu/
